,Bodega,c1,c2,c3 ,c4,c5,c6,c7,c8,c9,c10
Bodega,---,0.4,1.5,0.6,0.1,1.3,1.1,0.5,1.3,0.6,0.5
c1,1.2,---,1.5,1.7,1.6,0.7,0.1,0.5,1.5,1,1.7
c2,0.5,0.4,---,0.1,1.1,1.5,1.1,1.1,1.4,0.7,1.1
c3,1.6,0.2,1.7,---,0.5,0.7,1.6,1.8,1.2,1,1.5
c4,1.3,0.9,1.6,1.1,---,0.4,1.8,1.3,1.7,0.3,0.1
c5,1.4,1.1,0.1,0.5,0.8,---,0.6,0.9,1.9,1,1.9
c6,1.4,1.7,0.4,0.4,0.7,1.7,---,0.6,0.6,1.5,0.3
c7,1.3,0.9,1.6,1.8,1.4,1.2,1.5,---,0.4,0.6,1.9
c8,1.5,0.8,2,0.8,0.3,0.3,1.9,1.6,---,1.4,2
c9,0.7,0.1,0.6,0.3,0.3,2,1.4,0.5,1.6,---,1.7
c10,1.2,1.9,0.8,0.2,0.8,1.7,0.7,2,1.6,1.7,---
